REGION,YEAR,WEEK,% WEIGHTED ILI
Region 1,2000,1,4.79133
Region 2,2000,1,4.93935
Region 3,2000,1,8.56371
Region 4,2000,1,5.16737
Region 5,2000,1,4.6067
Region 6,2000,1,10.4675
Region 7,2000,1,6.5241
Region 8,2000,1,4.16936
Region 9,2000,1,10.1187
Region 10,2000,1,4.56665
National,2000,1,6.76846
Region 1,2000,2,4.88309
Region 2,2000,2,2.01903
Region 3,2000,2,6.76656
Region 4,2000,2,4.53327
Region 5,2000,2,3.95737
Region 6,2000,2,7.74693
Region 7,2000,2,5.48635
Region 8,2000,2,2.81141
Region 9,2000,2,8.90811
Region 10,2000,2,6.60066
National,2000,2,5.52808
Region 1,2000,3,2.52261
Region 2,2000,3,2.78099
Region 3,2000,3,6.67117
Region 4,2000,3,3.8734
Region 5,2000,3,2.58368
Region 6,2000,3,4.29523
Region 7,2000,3,3.55603
Region 8,2000,3,1.76958
Region 9,2000,3,4.70453
Region 10,2000,3,2.78186
National,2000,3,3.80508
Region 1,2000,4,1.96257
Region 2,2000,4,1.27319
Region 3,2000,4,8.85504
Region 4,2000,4,3.31962
Region 5,2000,4,1.94811
Region 6,2000,4,3.19607
Region 7,2000,4,2.25731
Region 8,2000,4,1.04967
Region 9,2000,4,4.72669
Region 10,2000,4,2.71533
National,2000,4,3.41177
Region 1,2000,5,1.45369
Region 2,2000,5,1.57863
Region 3,2000,5,5.60693
Region 4,2000,5,2.35599
Region 5,2000,5,1.52802
Region 6,2000,5,2.37357
Region 7,2000,5,1.5393
Region 8,2000,5,1.16143
Region 9,2000,5,2.79908
Region 10,2000,5,2.11017
National,2000,5,2.4
Region 1,2000,6,1.01556
Region 2,2000,6,1.83077
Region 3,2000,6,3.73197
Region 4,2000,6,1.74714
Region 5,2000,6,1.46531
Region 6,2000,6,1.09837
Region 7,2000,6,1.29004
Region 8,2000,6,1.05777
Region 9,2000,6,2.58947
Region 10,2000,6,2.2056
National,2000,6,1.8912
Region 1,2000,7,0.924787
Region 2,2000,7,1.16384
Region 3,2000,7,4.23129
Region 4,2000,7,1.14445
Region 5,2000,7,0.887784
Region 6,2000,7,0.943391
Region 7,2000,7,1.27716
Region 8,2000,7,0.821093
Region 9,2000,7,1.10809
Region 10,2000,7,0.483582
National,2000,7,1.35503
Region 1,2000,8,0.747603
Region 2,2000,8,0.858787
Region 3,2000,8,3.72563
Region 4,2000,8,0.91577
Region 5,2000,8,0.674315
Region 6,2000,8,0.267017
Region 7,2000,8,0.803683
Region 8,2000,8,0.558954
Region 9,2000,8,2.6781
Region 10,2000,8,0.92015
National,2000,8,1.33212
Region 1,2000,9,0.47384
Region 2,2000,9,1.87497
Region 3,2000,9,4.30152
Region 4,2000,9,1.04423
Region 5,2000,9,0.860873
Region 6,2000,9,0.706367
Region 7,2000,9,0.623408
Region 8,2000,9,0.663224
Region 9,2000,9,2.13891
Region 10,2000,9,0.339006
National,2000,9,1.49127
Region 1,2000,10,0.22669
Region 2,2000,10,1.24693
Region 3,2000,10,4.04905
Region 4,2000,10,0.855417
Region 5,2000,10,0.764018
Region 6,2000,10,0.715319
Region 7,2000,10,0.615374
Region 8,2000,10,0.321697
Region 9,2000,10,1.68359
Region 10,2000,10,0.934838
National,2000,10,1.26826
Region 1,2000,11,0.433628
Region 2,2000,11,2.11097
Region 3,2000,11,2.51108
Region 4,2000,11,0.605439
Region 5,2000,11,0.609044
Region 6,2000,11,0.409485
Region 7,2000,11,0.806538
Region 8,2000,11,0.188572
Region 9,2000,11,1.49648
Region 10,2000,11,0
National,2000,11,1.05854
Region 1,2000,12,0.367004
Region 2,2000,12,0.754074
Region 3,2000,12,3.07188
Region 4,2000,12,0.578987
Region 5,2000,12,0.517812
Region 6,2000,12,0.0137476
Region 7,2000,12,0.999527
Region 8,2000,12,0.228259
Region 9,2000,12,1.46236
Region 10,2000,12,0.246874
National,2000,12,0.92201
Region 1,2000,13,0.205171
Region 2,2000,13,1.9702
Region 3,2000,13,2.57354
Region 4,2000,13,0.548841
Region 5,2000,13,0.508464
Region 6,2000,13,0.00626223
Region 7,2000,13,0.648561
Region 8,2000,13,0.243793
Region 9,2000,13,1.02393
Region 10,2000,13,0
National,2000,13,0.892334
Region 1,2000,14,0.247498
Region 2,2000,14,1.41154
Region 3,2000,14,3.85265
Region 4,2000,14,0.492247
Region 5,2000,14,0.367199
Region 6,2000,14,0.454648
Region 7,2000,14,0.586839
Region 8,2000,14,0.257692
Region 9,2000,14,0.755166
Region 10,2000,14,0.204499
National,2000,14,0.929201
Region 1,2000,15,0.186234
Region 2,2000,15,0.793105
Region 3,2000,15,2.57672
Region 4,2000,15,0.483112
Region 5,2000,15,0.273821
Region 6,2000,15,0.309854
Region 7,2000,15,0.549915
Region 8,2000,15,0.149439
Region 9,2000,15,0.546248
Region 10,2000,15,0.156495
National,2000,15,0.655592
Region 1,2000,16,0.194054
Region 2,2000,16,0.463067
Region 3,2000,16,2.32176
Region 4,2000,16,0.578421
Region 5,2000,16,0.344341
Region 6,2000,16,0.376833
Region 7,2000,16,0.639892
Region 8,2000,16,0.0684374
Region 9,2000,16,0.359118
Region 10,2000,16,0.21097
National,2000,16,0.607002
Region 1,2000,17,0.123896
Region 2,2000,17,0.927979
Region 3,2000,17,1.71367
Region 4,2000,17,0.524378
Region 5,2000,17,0.39873
Region 6,2000,17,0.270324
Region 7,2000,17,1.28095
Region 8,2000,17,0.102158
Region 9,2000,17,0.310931
Region 10,2000,17,0
National,2000,17,0.600003
Region 1,2000,18,0.116315
Region 2,2000,18,0.482175
Region 3,2000,18,2.30481
Region 4,2000,18,0.701991
Region 5,2000,18,0.250336
Region 6,2000,18,0.244806
Region 7,2000,18,0.680936
Region 8,2000,18,0
Region 9,2000,18,0.09069
Region 10,2000,18,0
National,2000,18,0.547247
Region 1,2000,19,0.0854574
Region 2,2000,19,0.910596
Region 3,2000,19,1.53104
Region 4,2000,19,0.34515
Region 5,2000,19,0.252558
Region 6,2000,19,0.24997
Region 7,2000,19,0.842976
Region 8,2000,19,0.0818814
Region 9,2000,19,0.265234
Region 10,2000,19,0.231481
National,2000,19,0.476417
Region 1,2000,20,0.0534167
Region 2,2000,20,0
Region 3,2000,20,1.12846
Region 4,2000,20,0.393233
Region 5,2000,20,0.214664
Region 6,2000,20,0.265205
Region 7,2000,20,0.716501
Region 8,2000,20,0
Region 9,2000,20,0.946002
Region 10,2000,20,0
National,2000,20,0.445917
Region 1,2000,21,0
Region 2,2000,21,0
Region 3,2000,21,0
Region 4,2000,21,0
Region 5,2000,21,0
Region 6,2000,21,0
Region 7,2000,21,0
Region 8,2000,21,0
Region 9,2000,21,0
Region 10,2000,21,0
National,2000,21,0
Region 1,2000,22,0
Region 2,2000,22,0
Region 3,2000,22,0
Region 4,2000,22,0
Region 5,2000,22,0
Region 6,2000,22,0
Region 7,2000,22,0
Region 8,2000,22,0
Region 9,2000,22,0
Region 10,2000,22,0
National,2000,22,0
Region 1,2000,23,0
Region 2,2000,23,0
Region 3,2000,23,0
Region 4,2000,23,0
Region 5,2000,23,0
Region 6,2000,23,0
Region 7,2000,23,0
Region 8,2000,23,0
Region 9,2000,23,0
Region 10,2000,23,0
National,2000,23,0
Region 1,2000,24,0
Region 2,2000,24,0
Region 3,2000,24,0
Region 4,2000,24,0
Region 5,2000,24,0
Region 6,2000,24,0
Region 7,2000,24,0
Region 8,2000,24,0
Region 9,2000,24,0
Region 10,2000,24,0
National,2000,24,0
Region 1,2000,25,0
Region 2,2000,25,0
Region 3,2000,25,0
Region 4,2000,25,0
Region 5,2000,25,0
Region 6,2000,25,0
Region 7,2000,25,0
Region 8,2000,25,0
Region 9,2000,25,0
Region 10,2000,25,0
National,2000,25,0
Region 1,2000,26,0
Region 2,2000,26,0
Region 3,2000,26,0
Region 4,2000,26,0
Region 5,2000,26,0
Region 6,2000,26,0
Region 7,2000,26,0
Region 8,2000,26,0
Region 9,2000,26,0
Region 10,2000,26,0
National,2000,26,0
Region 1,2000,27,0
Region 2,2000,27,0
Region 3,2000,27,0
Region 4,2000,27,0
Region 5,2000,27,0
Region 6,2000,27,0
Region 7,2000,27,0
Region 8,2000,27,0
Region 9,2000,27,0
Region 10,2000,27,0
National,2000,27,0
Region 1,2000,28,0
Region 2,2000,28,0
Region 3,2000,28,0
Region 4,2000,28,0
Region 5,2000,28,0
Region 6,2000,28,0
Region 7,2000,28,0
Region 8,2000,28,0
Region 9,2000,28,0
Region 10,2000,28,0
National,2000,28,0
Region 1,2000,29,0
Region 2,2000,29,0
Region 3,2000,29,0
Region 4,2000,29,0
Region 5,2000,29,0
Region 6,2000,29,0
Region 7,2000,29,0
Region 8,2000,29,0
Region 9,2000,29,0
Region 10,2000,29,0
National,2000,29,0
Region 1,2000,30,0
Region 2,2000,30,0
Region 3,2000,30,0
Region 4,2000,30,0
Region 5,2000,30,0
Region 6,2000,30,0
Region 7,2000,30,0
Region 8,2000,30,0
Region 9,2000,30,0
Region 10,2000,30,0
National,2000,30,0
Region 1,2000,31,0
Region 2,2000,31,0
Region 3,2000,31,0
Region 4,2000,31,0
Region 5,2000,31,0
Region 6,2000,31,0
Region 7,2000,31,0
